@RELATION Untitled

@ATTRIBUTE time_hp real
@ATTRIBUTE pred_hp real

@DATA
0,2.6967080896768
0.0002,2.4678857863484
0.0004,2.2657984890265
0.0006,2.0873689023832
0.0008,1.9298751717925
0.001,1.7909165938413
0.0012,1.6683810324385
0.0014,1.5604144424188
0.0016,1.4653927277986
0.0018,1.3818960292904
0.002,1.3086854380395
0.0022,1.2446820631637
0.0024,1.1889483336889
0.0026,1.1406713858608
0.0028,1.0991483703587
0.003,1.0637735071838
0.0032,1.0340267161766
0.0034,1.0094636560392
0.0036,0.98970701270598
0.0038,0.97443888765333
0.004,0.96339414729963
0.0042,0.95635460536581
0.0044,0.95314392047047
0.0046,0.95362310102769
0.0048,0.9576865185429
0.005,0.96525833859132
0.0052,0.97628928613944
0.0054,0.99075366850292
0.0056,1.0086465852593
0.0058,1.0299812600069
0.006,1.0547864341818
0.0062,1.0831037684272
0.0064,1.1149852024784
0.0066,1.1504902304175
0.0068,1.1896830547027
0.007,1.2326295897757
0.0072,1.2793942945158
0.0074,1.3300368224414
0.0076,1.3846084894657
0.0078,1.4431485711674
0.008,1.5056804548661
0.0082,1.57220768606
0.0084,1.642709963691
0.0086,1.7171391537733
0.0088,1.7954154055868
0.009,1.8774234682018
0.0092,1.9630093167839
0.0094,2.0519772070796
0.0096,2.1440872818603
0.0098,2.2390538540781
0.01,2.3365444873614
0.0102,2.4361799847029
0.0104,2.5375353804488
0.0106,2.6401420089976
0.0108,2.7434906962281
0.011,2.8470360873228
0.0112,2.9502020883429
0.0114,3.0523883600468
0.0116,3.1529777626665
0.0118,3.2513446115684
0.012,3.3468635678667
0.0122,3.4389189570974
0.0124,3.5269142848067
0.0126,3.6102817018711
0.0128,3.6884911656932
0.013,3.7610590467677
0.0132,3.8275559435901
0.0134,3.8876134920434
0.0136,3.940929987259
0.0138,3.9872746750217
0.014,4.0264906142063
0.0142,4.0584960593722
0.0144,4.083284361203
0.0146,4.1009224297318
0.0148,4.1115478491059
0.015,4.1153647712028
0.0152,4.1126387472308
0.0154,4.1036906805216
0.0156,4.0888900994729
0.0158,4.0686479569493
0.016,4.0434091617299
0.0162,4.013645039525
0.0164,3.9798459066778
0.0166,3.9425139201516
